[INFO] Device=cuda | K=6, ROUNDS=20, E=1, clusters=3
[INFO] Cluster label map: {0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [7, 8, 9]}
Round 01 | Global Acc    | C0:39.52% | C1:22.20% | C2:22.74%
          | In-Cluster Acc | C0:95.07% | C1:78.39% | C2:75.52%
Round 02 | Global Acc    | C0:41.32% | C1:28.12% | C2:29.76%
          | In-Cluster Acc | C0:99.40% | C1:99.29% | C2:98.84%
Round 03 | Global Acc    | C0:41.39% | C1:28.15% | C2:29.83%
          | In-Cluster Acc | C0:99.57% | C1:99.40% | C2:99.07%
Round 04 | Global Acc    | C0:41.40% | C1:28.18% | C2:29.86%
          | In-Cluster Acc | C0:99.59% | C1:99.51% | C2:99.17%
Round 05 | Global Acc    | C0:41.45% | C1:28.16% | C2:29.94%
          | In-Cluster Acc | C0:99.71% | C1:99.44% | C2:99.44%
Round 06 | Global Acc    | C0:41.44% | C1:28.17% | C2:29.93%
          | In-Cluster Acc | C0:99.69% | C1:99.47% | C2:99.40%
Round 07 | Global Acc    | C0:41.45% | C1:28.22% | C2:29.95%
          | In-Cluster Acc | C0:99.71% | C1:99.65% | C2:99.47%
Round 08 | Global Acc    | C0:41.50% | C1:28.19% | C2:29.88%
          | In-Cluster Acc | C0:99.83% | C1:99.54% | C2:99.24%
Round 09 | Global Acc    | C0:41.42% | C1:28.19% | C2:29.99%
          | In-Cluster Acc | C0:99.64% | C1:99.54% | C2:99.60%
Round 10 | Global Acc    | C0:41.44% | C1:28.20% | C2:29.95%
          | In-Cluster Acc | C0:99.69% | C1:99.58% | C2:99.47%
Round 11 | Global Acc    | C0:41.47% | C1:28.18% | C2:29.99%
          | In-Cluster Acc | C0:99.76% | C1:99.51% | C2:99.60%
Round 12 | Global Acc    | C0:41.47% | C1:28.17% | C2:29.99%
          | In-Cluster Acc | C0:99.76% | C1:99.47% | C2:99.60%
Round 13 | Global Acc    | C0:41.48% | C1:28.20% | C2:29.96%
          | In-Cluster Acc | C0:99.78% | C1:99.58% | C2:99.50%
Round 14 | Global Acc    | C0:41.47% | C1:28.17% | C2:29.93%
          | In-Cluster Acc | C0:99.76% | C1:99.47% | C2:99.40%
Round 15 | Global Acc    | C0:41.49% | C1:28.20% | C2:29.96%
          | In-Cluster Acc | C0:99.81% | C1:99.58% | C2:99.50%
Round 16 | Global Acc    | C0:41.49% | C1:28.21% | C2:29.98%
          | In-Cluster Acc | C0:99.81% | C1:99.61% | C2:99.57%
Round 17 | Global Acc    | C0:41.49% | C1:28.17% | C2:29.97%
          | In-Cluster Acc | C0:99.81% | C1:99.47% | C2:99.54%
Round 18 | Global Acc    | C0:41.49% | C1:28.18% | C2:29.97%
          | In-Cluster Acc | C0:99.81% | C1:99.51% | C2:99.54%
Round 19 | Global Acc    | C0:41.49% | C1:28.16% | C2:29.99%
          | In-Cluster Acc | C0:99.81% | C1:99.44% | C2:99.60%
Round 20 | Global Acc    | C0:41.49% | C1:28.20% | C2:30.00%
          | In-Cluster Acc | C0:99.81% | C1:99.58% | C2:99.63%

[DONE] Final accuracies:
  - Cluster 0 (labels [0, 1, 2, 3]): Global Acc=41.49%  (loss=10.9702) | In-Cluster Acc=99.81%  (loss=0.0075)
  - Cluster 1 (labels [4, 5, 6]): Global Acc=28.20%  (loss=13.7147) | In-Cluster Acc=99.58%  (loss=0.0265)
  - Cluster 2 (labels [7, 8, 9]): Global Acc=30.00%  (loss=10.8883) | In-Cluster Acc=99.63%  (loss=0.0166)
